id_funcionario,data_reembolso,categoria,valor,descricao
1049,2025-04-12,Hotel,603.68,Diária de hotel em missão comercial
1067,2025-02-09,Educação,322.53,Curso online de atualização profissional
1077,2025-04-09,Transporte,127.71,Estacionamento em local de reunião
1077,2025-04-11,Transporte,49.23,Corrida de aplicativo para reunião externa
1016,2025-04-14,Hotel,940.5,Hospedagem em viagem a trabalho
1069,2025-04-12,Educação,320.23,Treinamento obrigatório da empresa
1004,2024-10-17,Outros,444.78,Serviços de impressão para apresentação
1085,2024-12-25,Hotel,453.39,Estadia para evento corporativo
1098,2025-02-04,Alimentação,134.54,Almoço com cliente em restaurante local
1024,2025-02-09,Outros,316.27,Compra emergencial durante viagem
1097,2024-11-06,Transporte,122.12,Corrida de aplicativo para reunião externa
1000,2025-01-20,Alimentação,87.02,Refeição após reunião externa
1049,2025-02-05,Hotel,550.29,Diária de hotel em missão comercial
1098,2025-02-25,Transporte,148.02,Corrida de aplicativo para reunião externa
1064,2025-03-07,Transporte,105.61,Táxi do aeroporto ao hotel
1057,2024-12-31,Hotel,206.59,Diária em hotel durante treinamento
1098,2025-02-02,Alimentação,46.48,Café da manhã durante evento corporativo
1024,2024-11-08,Educação,281.42,Compra de livro técnico
1085,2024-10-21,Hotel,662.0,Diária em hotel durante treinamento
1088,2024-12-02,Outros,191.51,Assinatura de software temporário
1082,2024-11-21,Hotel,843.79,Reembolso de hospedagem em congresso
1000,2025-02-22,Transporte,21.96,Aluguel de carro para deslocamento profissional
1027,2025-04-02,Hotel,628.72,Reembolso de hospedagem em congresso
1081,2025-02-14,Hotel,236.4,Hospedagem em viagem a trabalho
1088,2025-01-22,Outros,313.96,Compra de material de escritório
1032,2025-03-30,Alimentação,77.17,Almoço com cliente em restaurante local
1085,2025-01-03,Hotel,683.92,Diária de hotel em missão comercial
1024,2024-11-27,Outros,70.42,Reembolso de brindes para cliente
1028,2024-12-06,Alimentação,118.38,Refeição após reunião externa
1041,2025-01-29,Educação,404.17,Treinamento obrigatório da empresa
1036,2024-10-28,Educação,358.35,Treinamento obrigatório da empresa
1098,2024-11-30,Educação,287.05,Workshop de capacitação
1049,2024-11-19,Educação,357.99,Curso online de atualização profissional
1026,2025-03-13,Outros,93.97,Compra emergencial durante viagem
1074,2025-03-28,Outros,328.33,Reembolso de brindes para cliente
1048,2025-03-30,Educação,464.95,Inscrição em conferência da área
1029,2025-01-28,Transporte,142.82,Táxi do aeroporto ao hotel
1002,2025-04-11,Alimentação,58.11,Refeição após reunião externa
1049,2024-11-10,Educação,336.14,Inscrição em conferência da área
1057,2025-03-20,Transporte,48.27,Estacionamento em local de reunião
1088,2024-10-18,Hotel,714.48,Diária em hotel durante treinamento
1049,2024-12-09,Educação,345.06,Treinamento obrigatório da empresa
1024,2024-12-05,Outros,10.0,Serviços de impressão para apresentação
1088,2025-01-03,Outros,25.73,Assinatura de software temporário
1080,2025-02-18,Outros,157.53,Compra emergencial durante viagem
1041,2025-03-08,Educação,269.91,Curso online de atualização profissional
1024,2025-01-31,Transporte,51.62,Táxi do aeroporto ao hotel
1074,2024-12-21,Outros,258.35,Compra emergencial durante viagem
1091,2024-12-24,Alimentação,87.54,Almoço com cliente em restaurante local
1074,2025-01-10,Alimentação,74.17,Café da manhã durante evento corporativo
1044,2025-04-10,Hotel,448.84,Reembolso de hospedagem em congresso
1088,2025-03-28,Educação,404.87,Compra de livro técnico
1074,2025-03-03,Outros,448.31,Assinatura de software temporário
1027,2025-01-19,Transporte,80.66,Reembolso de combustível
1024,2025-04-14,Transporte,75.51,Estacionamento em local de reunião
1028,2025-02-16,Educação,349.12,Curso online de atualização profissional
1024,2024-12-08,Hotel,528.39,Hospedagem em viagem a trabalho
1046,2025-03-21,Educação,286.06,Workshop de capacitação
1000,2025-02-04,Alimentação,102.19,Café da manhã durante evento corporativo
1036,2025-02-08,Hotel,218.13,Estadia para evento corporativo
1097,2024-12-14,Alimentação,119.55,Jantar em viagem de negócios
1002,2024-11-13,Hotel,614.54,Reembolso de hospedagem em congresso
1098,2024-11-28,Hotel,517.7,Estadia para evento corporativo
1004,2025-02-03,Educação,291.08,Treinamento obrigatório da empresa
1088,2025-03-25,Alimentação,78.87,Jantar em viagem de negócios
1022,2025-03-07,Transporte,30.75,Aluguel de carro para deslocamento profissional
1067,2025-03-02,Educação,449.49,Treinamento obrigatório da empresa
1000,2025-03-09,Alimentação,81.24,Compra de lanche em aeroporto
1029,2025-02-25,Alimentação,93.29,Café da manhã durante evento corporativo
1036,2024-12-16,Outros,342.73,Assinatura de software temporário
1002,2025-03-07,Outros,46.83,Compra emergencial durante viagem
1064,2024-12-11,Transporte,118.94,Táxi do aeroporto ao hotel
1069,2024-11-15,Alimentação,71.97,Jantar em viagem de negócios
1027,2024-11-12,Educação,384.68,Curso online de atualização profissional
1000,2025-04-12,Transporte,14.91,Reembolso de combustível
1000,2024-11-25,Educação,290.09,Treinamento obrigatório da empresa
1024,2025-03-15,Alimentação,61.92,Almoço com cliente em restaurante local
1098,2024-12-19,Hotel,686.45,Reembolso de hospedagem em congresso
1028,2024-12-15,Educação,347.0,Inscrição em conferência da área
1098,2025-02-08,Outros,93.86,Compra emergencial durante viagem
1047,2025-01-16,Hotel,457.57,Hospedagem em viagem a trabalho
1088,2024-10-26,Alimentação,76.68,Café da manhã durante evento corporativo
1064,2025-01-08,Educação,210.34,Curso online de atualização profissional
1029,2024-12-07,Outros,326.3,Reembolso de brindes para cliente
1046,2025-01-13,Transporte,85.23,Táxi do aeroporto ao hotel
1088,2025-02-28,Educação,10.0,Treinamento obrigatório da empresa
1064,2025-01-31,Alimentação,68.76,Refeição após reunião externa
1002,2024-12-29,Transporte,58.46,Estacionamento em local de reunião
1080,2025-02-01,Transporte,34.75,Reembolso de combustível
1028,2024-12-10,Hotel,352.51,Estadia para evento corporativo
1077,2024-12-11,Educação,310.94,Workshop de capacitação
1081,2025-03-20,Hotel,865.73,Hospedagem em viagem a trabalho
1081,2025-02-27,Hotel,662.64,Diária de hotel em missão comercial
1067,2025-04-03,Educação,239.35,Treinamento obrigatório da empresa
1016,2024-10-15,Alimentação,93.68,Compra de lanche em aeroporto
1085,2025-02-10,Hotel,508.18,Diária de hotel em missão comercial
1088,2025-02-18,Outros,95.81,Compra emergencial durante viagem
1045,2025-01-25,Hotel,369.13,Diária em hotel durante treinamento
1098,2025-02-02,Alimentação,27.45,Café da manhã durante evento corporativo
1088,2025-01-22,Hotel,522.02,Estadia para evento corporativo
1088,2025-03-03,Hotel,631.61,Hospedagem em viagem a trabalho
1032,2024-12-31,Outros,185.51,Reembolso de brindes para cliente
1046,2024-11-08,Outros,137.6,Assinatura de software temporário
1085,2025-02-01,Hotel,410.85,Hospedagem em viagem a trabalho
1004,2025-03-24,Alimentação,98.25,Refeição após reunião externa
1045,2025-04-08,Hotel,336.57,Reembolso de hospedagem em congresso
1024,2025-04-03,Educação,377.6,Curso online de atualização profissional
1067,2024-11-28,Outros,49.67,Reembolso de brindes para cliente
1011,2024-11-23,Transporte,69.9,Estacionamento em local de reunião
1057,2024-11-18,Educação,153.32,Workshop de capacitação
1026,2024-12-30,Hotel,499.72,Hospedagem em viagem a trabalho
1085,2024-12-09,Outros,346.3,Reembolso de brindes para cliente
1045,2024-10-25,Alimentação,95.47,Refeição após reunião externa
1002,2024-11-14,Hotel,795.68,Diária de hotel em missão comercial
1091,2024-10-16,Transporte,120.89,Reembolso de combustível
1088,2025-04-03,Alimentação,46.89,Jantar em viagem de negócios
1047,2025-03-06,Transporte,86.77,Reembolso de combustível
1024,2025-02-19,Hotel,443.96,Estadia para evento corporativo
1088,2025-01-08,Outros,399.59,Serviços de impressão para apresentação
1081,2025-02-17,Alimentação,44.1,Refeição após reunião externa
1046,2024-12-26,Outros,334.05,Compra emergencial durante viagem
1067,2024-12-13,Alimentação,106.79,Refeição após reunião externa
1069,2025-01-02,Outros,474.44,Compra de material de escritório
1036,2025-02-14,Educação,259.03,Treinamento obrigatório da empresa
1036,2025-03-18,Educação,371.23,Curso online de atualização profissional
1032,2025-01-01,Transporte,191.27,Táxi do aeroporto ao hotel
1011,2025-02-11,Educação,238.24,Treinamento obrigatório da empresa
1081,2024-11-17,Transporte,38.6,Reembolso de combustível
1036,2025-04-13,Transporte,24.8,Corrida de aplicativo para reunião externa
1097,2025-03-16,Hotel,742.54,Hospedagem em viagem a trabalho
1059,2025-01-25,Alimentação,23.51,Almoço com cliente em restaurante local
1022,2025-02-12,Hotel,525.54,Hospedagem em viagem a trabalho
1091,2024-11-03,Transporte,117.49,Estacionamento em local de reunião
1091,2024-12-04,Transporte,107.41,Aluguel de carro para deslocamento profissional
1091,2024-10-31,Alimentação,92.76,Jantar em viagem de negócios
1067,2024-12-04,Educação,322.23,Compra de livro técnico
1024,2025-01-27,Educação,427.89,Compra de livro técnico
1091,2024-10-16,Alimentação,51.43,Almoço com cliente em restaurante local
1044,2025-04-08,Transporte,72.92,Reembolso de combustível
1080,2025-02-12,Hotel,445.47,Diária de hotel em missão comercial
1069,2024-12-11,Alimentação,104.91,Almoço com cliente em restaurante local
1057,2025-04-07,Transporte,136.02,Táxi do aeroporto ao hotel
1032,2025-01-28,Hotel,690.25,Estadia para evento corporativo
1002,2024-11-10,Alimentação,115.5,Refeição após reunião externa
1026,2025-01-02,Outros,23.29,Serviços de impressão para apresentação
1029,2025-03-01,Alimentação,130.02,Almoço com cliente em restaurante local
1036,2024-11-20,Hotel,904.65,Reembolso de hospedagem em congresso
1004,2025-04-05,Outros,310.34,Compra emergencial durante viagem
1041,2025-01-30,Hotel,956.36,Reembolso de hospedagem em congresso
1036,2024-10-24,Transporte,33.74,Reembolso de combustível
1097,2024-12-01,Hotel,495.11,Hospedagem em viagem a trabalho
1029,2025-02-16,Educação,226.47,Curso online de atualização profissional
1046,2025-03-02,Transporte,128.86,Táxi do aeroporto ao hotel
1061,2024-11-28,Alimentação,48.5,Compra de lanche em aeroporto
1026,2025-01-04,Transporte,130.3,Corrida de aplicativo para reunião externa
1000,2025-02-04,Alimentação,121.12,Refeição após reunião externa
1057,2025-04-10,Hotel,739.04,Diária de hotel em missão comercial
1067,2025-01-03,Alimentação,88.51,Compra de lanche em aeroporto
1046,2024-12-18,Alimentação,50.36,Almoço com cliente em restaurante local
1046,2025-02-13,Alimentação,54.59,Refeição após reunião externa
1022,2024-12-06,Educação,424.96,Curso online de atualização profissional
1028,2025-03-29,Hotel,755.87,Reembolso de hospedagem em congresso
1032,2025-03-24,Transporte,98.44,Táxi do aeroporto ao hotel
1032,2025-01-14,Alimentação,67.46,Café da manhã durante evento corporativo
1024,2025-03-04,Alimentação,19.23,Compra de lanche em aeroporto
1088,2024-11-23,Outros,39.37,Compra emergencial durante viagem
1032,2024-12-16,Transporte,176.46,Aluguel de carro para deslocamento profissional
1016,2025-03-05,Outros,10.0,Compra emergencial durante viagem
1048,2024-11-09,Hotel,637.9,Diária em hotel durante treinamento
1016,2025-03-29,Educação,400.74,Inscrição em conferência da área
1028,2024-12-16,Transporte,49.8,Reembolso de combustível
1041,2024-11-27,Transporte,107.39,Reembolso de combustível
1036,2024-12-28,Educação,393.79,Workshop de capacitação
1029,2025-02-08,Alimentação,80.37,Compra de lanche em aeroporto
1097,2025-01-05,Transporte,214.74,Aluguel de carro para deslocamento profissional
1011,2024-11-09,Transporte,33.26,Corrida de aplicativo para reunião externa
1080,2024-11-24,Alimentação,111.76,Almoço com cliente em restaurante local
1074,2024-11-04,Educação,282.72,Inscrição em conferência da área
1049,2024-12-29,Outros,315.79,Compra de material de escritório
1004,2025-03-16,Alimentação,93.24,Café da manhã durante evento corporativo
1088,2025-03-26,Transporte,70.67,Aluguel de carro para deslocamento profissional
1045,2024-11-28,Hotel,645.8,Reembolso de hospedagem em congresso
1046,2025-02-13,Alimentação,24.26,Jantar em viagem de negócios
1027,2025-01-07,Hotel,720.65,Estadia para evento corporativo
1036,2025-01-17,Hotel,659.63,Reembolso de hospedagem em congresso
1067,2025-04-08,Alimentação,99.16,Almoço com cliente em restaurante local
1091,2025-03-13,Alimentação,111.74,Almoço com cliente em restaurante local
1002,2025-01-10,Transporte,114.7,Reembolso de combustível
1047,2025-03-06,Educação,314.81,Treinamento obrigatório da empresa
1088,2025-03-08,Alimentação,53.57,Café da manhã durante evento corporativo
1011,2024-12-05,Transporte,71.51,Corrida de aplicativo para reunião externa
1024,2025-03-06,Educação,418.67,Compra de livro técnico
1088,2024-11-03,Educação,443.63,Compra de livro técnico
1024,2024-12-16,Transporte,90.48,Corrida de aplicativo para reunião externa
1002,2025-02-04,Alimentação,81.38,Jantar em viagem de negócios
1016,2024-12-07,Educação,209.54,Treinamento obrigatório da empresa
1098,2025-03-11,Outros,375.91,Assinatura de software temporário
1082,2024-12-16,Outros,299.81,Assinatura de software temporário
1098,2025-04-02,Hotel,988.24,Diária de hotel em missão comercial
1064,2024-11-28,Transporte,64.87,Aluguel de carro para deslocamento profissional
1097,2025-01-19,Alimentação,68.66,Refeição após reunião externa
1022,2025-01-04,Alimentação,86.94,Almoço com cliente em restaurante local
1088,2024-10-20,Hotel,729.3,Diária em hotel durante treinamento
1036,2025-03-29,Outros,167.65,Compra emergencial durante viagem
1004,2024-12-22,Outros,69.06,Reembolso de brindes para cliente
1085,2024-12-31,Hotel,776.28,Diária de hotel em missão comercial
1041,2024-10-20,Outros,308.17,Compra de material de escritório
1077,2025-04-10,Transporte,63.35,Aluguel de carro para deslocamento profissional
1047,2024-11-01,Educação,435.54,Inscrição em conferência da área
1028,2025-04-02,Outros,375.53,Compra de material de escritório
1080,2024-11-04,Transporte,105.37,Estacionamento em local de reunião
1098,2025-03-28,Educação,307.96,Inscrição em conferência da área
1071,2024-12-17,Educação,355.41,Workshop de capacitação
1098,2024-12-06,Hotel,427.66,Estadia para evento corporativo
1046,2025-01-01,Outros,204.5,Reembolso de brindes para cliente
1028,2025-03-20,Educação,84.76,Compra de livro técnico
1098,2024-12-29,Alimentação,106.29,Refeição após reunião externa
1022,2024-11-11,Outros,10.0,Assinatura de software temporário
1049,2024-10-25,Educação,450.34,Compra de livro técnico
1059,2025-03-14,Alimentação,70.1,Refeição após reunião externa
1067,2024-11-28,Alimentação,73.65,Almoço com cliente em restaurante local
1024,2025-01-26,Educação,237.23,Curso online de atualização profissional
1028,2025-04-05,Outros,156.79,Compra de material de escritório
1049,2024-11-20,Outros,412.78,Compra emergencial durante viagem
1057,2025-02-11,Hotel,102.44,Diária de hotel em missão comercial
1028,2024-12-11,Transporte,151.08,Aluguel de carro para deslocamento profissional
1011,2025-02-06,Hotel,667.6,Diária em hotel durante treinamento
1046,2025-03-21,Educação,179.3,Workshop de capacitação
1028,2025-03-05,Outros,38.7,Compra emergencial durante viagem
1098,2024-11-02,Hotel,935.28,Reembolso de hospedagem em congresso
1048,2024-11-20,Alimentação,51.63,Jantar em viagem de negócios
1080,2024-11-08,Hotel,369.33,Estadia para evento corporativo
1057,2024-12-07,Hotel,827.46,Diária de hotel em missão comercial
1041,2025-01-24,Hotel,667.71,Diária em hotel durante treinamento
1027,2024-12-07,Transporte,62.48,Aluguel de carro para deslocamento profissional
1002,2024-11-12,Educação,321.66,Curso online de atualização profissional
1088,2024-10-23,Outros,46.14,Reembolso de brindes para cliente
1069,2024-10-19,Alimentação,113.02,Refeição após reunião externa
1061,2025-02-07,Educação,406.14,Inscrição em conferência da área
1036,2025-01-28,Hotel,706.4,Diária em hotel durante treinamento
1091,2024-10-18,Educação,336.17,Curso online de atualização profissional
1057,2024-12-02,Outros,464.18,Compra de material de escritório
1098,2025-02-01,Educação,299.97,Compra de livro técnico
1085,2024-12-02,Outros,22.72,Compra emergencial durante viagem
1002,2025-03-09,Educação,344.95,Curso online de atualização profissional
1041,2024-10-16,Alimentação,142.58,Compra de lanche em aeroporto
1077,2024-12-24,Outros,47.79,Assinatura de software temporário
1026,2024-11-02,Transporte,85.54,Estacionamento em local de reunião
1082,2025-03-14,Transporte,116.66,Corrida de aplicativo para reunião externa
1091,2025-01-11,Outros,191.91,Compra emergencial durante viagem
1059,2025-04-07,Outros,52.65,Assinatura de software temporário
1024,2025-02-18,Outros,368.28,Reembolso de brindes para cliente
1088,2025-03-19,Educação,532.0,Workshop de capacitação
1045,2024-10-27,Educação,319.61,Inscrição em conferência da área
1002,2025-02-02,Educação,209.59,Treinamento obrigatório da empresa
1032,2024-12-09,Outros,10.0,Serviços de impressão para apresentação
1032,2025-02-08,Outros,238.7,Serviços de impressão para apresentação
1036,2025-02-04,Outros,365.58,Reembolso de brindes para cliente
1069,2025-01-26,Transporte,119.01,Estacionamento em local de reunião
1036,2024-12-14,Hotel,599.52,Estadia para evento corporativo
1036,2024-12-29,Transporte,76.43,Táxi do aeroporto ao hotel
1026,2025-03-19,Outros,36.18,Serviços de impressão para apresentação
1036,2025-01-07,Alimentação,105.04,Café da manhã durante evento corporativo
1028,2024-11-04,Educação,391.38,Treinamento obrigatório da empresa
1074,2025-04-13,Educação,145.43,Treinamento obrigatório da empresa
1045,2024-12-06,Educação,458.98,Curso online de atualização profissional
1041,2025-02-09,Alimentação,97.22,Almoço com cliente em restaurante local
1091,2025-01-02,Transporte,155.98,Corrida de aplicativo para reunião externa
1085,2024-11-01,Alimentação,39.74,Jantar em viagem de negócios
1088,2024-10-27,Transporte,45.37,Reembolso de combustível
1036,2025-04-07,Hotel,570.21,Hospedagem em viagem a trabalho
1046,2024-12-01,Hotel,700.56,Hospedagem em viagem a trabalho
1091,2025-01-14,Outros,469.45,Compra de material de escritório
1047,2025-03-26,Educação,370.61,Curso online de atualização profissional
1067,2024-12-10,Outros,163.6,Reembolso de brindes para cliente
1067,2025-03-24,Outros,46.04,Assinatura de software temporário
1098,2025-03-13,Outros,384.5,Serviços de impressão para apresentação
1032,2025-02-10,Alimentação,51.06,Refeição após reunião externa
1091,2025-02-12,Educação,462.85,Workshop de capacitação
1028,2024-11-27,Alimentação,71.47,Almoço com cliente em restaurante local
1067,2025-03-13,Hotel,918.12,Hospedagem em viagem a trabalho
1067,2024-10-29,Educação,367.89,Inscrição em conferência da área
1057,2024-11-13,Hotel,572.6,Diária de hotel em missão comercial
1044,2025-01-19,Outros,122.09,Reembolso de brindes para cliente
1098,2025-01-24,Transporte,86.36,Reembolso de combustível
1022,2025-04-04,Transporte,117.13,Corrida de aplicativo para reunião externa
1082,2025-03-10,Transporte,103.09,Estacionamento em local de reunião
1048,2024-11-14,Educação,240.62,Curso online de atualização profissional
1077,2024-10-30,Hotel,566.87,Diária de hotel em missão comercial
1088,2024-11-06,Transporte,103.14,Táxi do aeroporto ao hotel
1067,2024-11-03,Hotel,174.25,Diária em hotel durante treinamento
1011,2024-12-11,Educação,345.82,Inscrição em conferência da área
1027,2025-02-12,Transporte,60.81,Reembolso de combustível
1028,2025-01-01,Alimentação,45.4,Compra de lanche em aeroporto
1085,2025-03-08,Hotel,262.53,Reembolso de hospedagem em congresso
1074,2025-02-19,Outros,10.0,Serviços de impressão para apresentação
1071,2024-11-29,Hotel,328.91,Diária de hotel em missão comercial
1046,2025-02-06,Transporte,71.64,Estacionamento em local de reunião
1071,2025-03-26,Outros,492.99,Reembolso de brindes para cliente
1024,2025-04-13,Outros,121.12,Compra emergencial durante viagem
1024,2024-11-22,Alimentação,85.33,Café da manhã durante evento corporativo
1046,2025-02-22,Transporte,116.02,Reembolso de combustível
1011,2025-03-31,Hotel,626.21,Estadia para evento corporativo
1061,2024-10-25,Outros,188.38,Compra emergencial durante viagem
1098,2025-02-01,Outros,20.71,Compra de material de escritório
1048,2024-10-31,Hotel,890.19,Reembolso de hospedagem em congresso
1098,2024-12-28,Outros,471.08,Compra emergencial durante viagem
1098,2025-01-03,Alimentação,29.52,Café da manhã durante evento corporativo
1091,2025-01-07,Alimentação,49.28,Refeição após reunião externa
1088,2025-04-14,Outros,158.03,Serviços de impressão para apresentação
1064,2025-04-05,Outros,55.32,Serviços de impressão para apresentação
1026,2025-03-28,Outros,275.89,Assinatura de software temporário
1097,2025-02-28,Alimentação,58.15,Café da manhã durante evento corporativo
1088,2025-03-24,Transporte,186.6,Reembolso de combustível
1026,2025-02-20,Alimentação,115.72,Almoço com cliente em restaurante local
1029,2025-03-31,Outros,231.89,Compra emergencial durante viagem
1080,2025-02-21,Alimentação,110.81,Jantar em viagem de negócios
1085,2025-01-11,Transporte,144.24,Aluguel de carro para deslocamento profissional
1016,2024-12-23,Transporte,77.44,Estacionamento em local de reunião
1032,2025-03-11,Educação,218.38,Curso online de atualização profissional
1067,2024-12-30,Transporte,103.13,Corrida de aplicativo para reunião externa
1081,2025-01-19,Hotel,772.33,Diária em hotel durante treinamento
1049,2024-10-17,Alimentação,84.17,Almoço com cliente em restaurante local
1082,2024-12-08,Hotel,284.6,Diária de hotel em missão comercial
1071,2025-03-06,Outros,79.58,Reembolso de brindes para cliente
1088,2025-02-25,Educação,292.6,Compra de livro técnico
1022,2025-04-07,Educação,292.43,Compra de livro técnico
1059,2025-02-09,Alimentação,139.18,Refeição após reunião externa
1036,2024-10-24,Alimentação,38.42,Compra de lanche em aeroporto
1080,2025-01-10,Outros,275.84,Compra de material de escritório
1091,2024-12-10,Outros,423.37,Compra de material de escritório
1032,2024-10-22,Alimentação,148.14,Café da manhã durante evento corporativo
1026,2024-10-26,Alimentação,67.87,Café da manhã durante evento corporativo
1036,2025-01-30,Hotel,698.29,Diária de hotel em missão comercial
1049,2024-11-05,Hotel,713.95,Reembolso de hospedagem em congresso
1091,2025-02-24,Educação,319.55,Curso online de atualização profissional
1098,2025-03-08,Transporte,96.05,Estacionamento em local de reunião
1046,2024-10-15,Transporte,117.44,Aluguel de carro para deslocamento profissional
1044,2024-10-15,Hotel,93.55,Hospedagem em viagem a trabalho
1036,2024-10-27,Hotel,736.41,Diária em hotel durante treinamento
1028,2024-11-13,Outros,218.93,Reembolso de brindes para cliente
1048,2025-03-28,Alimentação,73.33,Almoço com cliente em restaurante local
1074,2025-01-18,Outros,507.03,Assinatura de software temporário
1044,2025-02-01,Outros,98.76,Compra de material de escritório
1036,2024-12-09,Transporte,83.88,Reembolso de combustível
1061,2024-12-16,Educação,499.16,Treinamento obrigatório da empresa
1032,2024-11-13,Transporte,66.72,Táxi do aeroporto ao hotel
1046,2024-11-16,Outros,117.48,Serviços de impressão para apresentação
1069,2024-12-14,Alimentação,75.59,Jantar em viagem de negócios
1085,2024-11-04,Outros,326.11,Compra de material de escritório
1091,2025-03-14,Outros,231.17,Assinatura de software temporário
1088,2024-12-27,Outros,10.0,Compra de material de escritório
1045,2024-12-19,Alimentação,64.03,Café da manhã durante evento corporativo
1016,2024-12-04,Transporte,75.71,Estacionamento em local de reunião
1097,2024-11-27,Hotel,584.56,Estadia para evento corporativo
1002,2025-02-01,Transporte,117.03,Corrida de aplicativo para reunião externa
1045,2025-02-28,Outros,262.73,Compra de material de escritório
1069,2025-02-28,Hotel,244.8,Reembolso de hospedagem em congresso
1022,2024-12-21,Hotel,812.79,Diária de hotel em missão comercial
1085,2025-03-12,Hotel,650.51,Diária de hotel em missão comercial
1032,2024-10-30,Outros,407.68,Compra emergencial durante viagem
1000,2024-11-10,Hotel,688.84,Reembolso de hospedagem em congresso
1029,2024-10-18,Alimentação,113.04,Café da manhã durante evento corporativo
1098,2025-01-18,Transporte,118.66,Aluguel de carro para deslocamento profissional
